OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
271,England,104000000011995,Hilley Farm Woodlands,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),EWGS 33512,4.77651134,3,9c573c9c-b51d-4743-b465-cb259c9b98fa
272,Scotland,104000000012235,An Sidhean,103000000005649,Bowlts 2016,Verified,Open ground,RDC_RP/3789697/651/0043/4895360,8.0823115,3,32e0f603-c6f3-424f-9534-2a6969b236de
273,Scotland,104000000012236,Allt na Tamshaig,103000000005649,Bowlts 2016,Verified,Open ground,RDC_RP/3789697/651/0043/4895360,7.8907424,3,15301bfa-8769-4ac1-a3cd-f20bbc3a5e6c
274,Scotland,104000000012236,Allt na Tamshaig,103000000005649,Bowlts 2016,Verified,Broadleaved (>80%),RDC_RP/3789697/651/0043/4895360,65.04860169,3,172ea770-fdd6-4f80-a4d5-db3d9bc1cd6e
275,Scotland,104000000012992,Caledonian Woodland Carbon Scheme,n/a,n/a,Verified,Mixed predominantly broadleaved (50-80%),SRDP 4634440,36.2847174,3,13938998-8a35-47bf-ba3e-3cef15ed4875
276,Scotland,104000000012992,Caledonian Woodland Carbon Scheme,n/a,n/a,Verified,Open ground,SRDP 4634440,7.78122846,3,ead80c78-e62f-40a6-9890-deca3228b3d2
277,Scotland,103000000004601,Darrochwids - Blackmiddens,103000000000757,Scottish Forest Alliance ,Validated,Mixed predominantly broadleaved (50-80%),No Grant,6.35160739,4,270b69ee-5d9b-4cfb-9484-b8a649d5ab5e
278,Scotland,103000000004601,Darrochwids - Blackmiddens,103000000000757,Scottish Forest Alliance ,Validated,Broadleaved (>80%),No Grant,28.90221336,4,4e8b952a-c137-495d-a70b-1be26c0759c1
279,Scotland,103000000004601,Darrochwids - Blackmiddens,103000000000757,Scottish Forest Alliance ,Validated,Open ground,No Grant,70.39544432,4,ea7b07ec-d403-4736-957b-d0efa8918c06
280,Scotland,103000000004600,Darrochwids - Merdrum,103000000000757,Scottish Forest Alliance ,Validated,Mixed predominantly broadleaved (50-80%),No Grant,5.89400352,4,b3f15ebf-af13-4630-bf41-d299a6f7d4e4
